"id","district_id","case_id","date","total"
608,"3202",3,"2020-08-07",0
619,"3203",3,"2020-08-07",0
630,"3204",3,"2020-08-07",0
641,"3205",3,"2020-08-07",0
652,"3206",3,"2020-08-07",0
663,"3207",3,"2020-08-07",0
674,"3208",3,"2020-08-07",0
685,"3209",3,"2020-08-07",0
696,"3210",3,"2020-08-07",0
707,"3211",3,"2020-08-07",0
718,"3212",3,"2020-08-07",0
729,"3213",3,"2020-08-07",0
740,"3214",3,"2020-08-07",0
751,"3215",3,"2020-08-07",0
762,"3216",3,"2020-08-07",0
773,"3217",3,"2020-08-07",0
784,"3218",3,"2020-08-07",0
795,"3271",3,"2020-08-07",0
806,"3272",3,"2020-08-07",0
817,"3273",3,"2020-08-07",0
828,"3274",3,"2020-08-07",0
839,"3275",3,"2020-08-07",0
850,"3276",3,"2020-08-07",0
861,"3277",3,"2020-08-07",0
872,"3278",3,"2020-08-07",0
883,"3279",3,"2020-08-07",0
598,"3201",4,"2020-08-07",0
609,"3202",4,"2020-08-07",0
620,"3203",4,"2020-08-07",0
631,"3204",4,"2020-08-07",0
642,"3205",4,"2020-08-07",0
653,"3206",4,"2020-08-07",1
664,"3207",4,"2020-08-07",0
675,"3208",4,"2020-08-07",0
686,"3209",4,"2020-08-07",1
697,"3210",4,"2020-08-07",0
708,"3211",4,"2020-08-07",0
719,"3212",4,"2020-08-07",0
730,"3213",4,"2020-08-07",0
741,"3214",4,"2020-08-07",0
752,"3215",4,"2020-08-07",0
763,"3216",4,"2020-08-07",0
774,"3217",4,"2020-08-07",0
785,"3218",4,"2020-08-07",0
796,"3271",4,"2020-08-07",2
807,"3272",4,"2020-08-07",0
818,"3273",4,"2020-08-07",0
829,"3274",4,"2020-08-07",0
840,"3275",4,"2020-08-07",0
851,"3276",4,"2020-08-07",0
862,"3277",4,"2020-08-07",0
873,"3278",4,"2020-08-07",0
884,"3279",4,"2020-08-07",0
599,"3201",5,"2020-08-07",0
610,"3202",5,"2020-08-07",0
621,"3203",5,"2020-08-07",0
632,"3204",5,"2020-08-07",0
643,"3205",5,"2020-08-07",0
654,"3206",5,"2020-08-07",0
665,"3207",5,"2020-08-07",0
676,"3208",5,"2020-08-07",0
687,"3209",5,"2020-08-07",0
698,"3210",5,"2020-08-07",0
709,"3211",5,"2020-08-07",0
720,"3212",5,"2020-08-07",0
731,"3213",5,"2020-08-07",0
742,"3214",5,"2020-08-07",0
753,"3215",5,"2020-08-07",0
764,"3216",5,"2020-08-07",0
775,"3217",5,"2020-08-07",0
786,"3218",5,"2020-08-07",0
797,"3271",5,"2020-08-07",0
808,"3272",5,"2020-08-07",0
819,"3273",5,"2020-08-07",0
830,"3274",5,"2020-08-07",0
841,"3275",5,"2020-08-07",0
852,"3276",5,"2020-08-07",0
863,"3277",5,"2020-08-07",0
874,"3278",5,"2020-08-07",0
885,"3279",5,"2020-08-07",0
600,"3201",6,"2020-08-07",0
611,"3202",6,"2020-08-07",1
622,"3203",6,"2020-08-07",0
633,"3204",6,"2020-08-07",0
644,"3205",6,"2020-08-07",0
655,"3206",6,"2020-08-07",0
666,"3207",6,"2020-08-07",0
677,"3208",6,"2020-08-07",0
688,"3209",6,"2020-08-07",0
699,"3210",6,"2020-08-07",0
710,"3211",6,"2020-08-07",0
721,"3212",6,"2020-08-07",0
732,"3213",6,"2020-08-07",0
743,"3214",6,"2020-08-07",0
754,"3215",6,"2020-08-07",0
765,"3216",6,"2020-08-07",1
776,"3217",6,"2020-08-07",0
787,"3218",6,"2020-08-07",0
798,"3271",6,"2020-08-07",0
809,"3272",6,"2020-08-07",0
820,"3273",6,"2020-08-07",0
831,"3274",6,"2020-08-07",0
842,"3275",6,"2020-08-07",9
853,"3276",6,"2020-08-07",25
864,"3277",6,"2020-08-07",0
875,"3278",6,"2020-08-07",0
886,"3279",6,"2020-08-07",0
601,"3201",7,"2020-08-07",0
612,"3202",7,"2020-08-07",0
623,"3203",7,"2020-08-07",0
634,"3204",7,"2020-08-07",0
645,"3205",7,"2020-08-07",0
656,"3206",7,"2020-08-07",0
667,"3207",7,"2020-08-07",3
678,"3208",7,"2020-08-07",0
689,"3209",7,"2020-08-07",0
700,"3210",7,"2020-08-07",0
711,"3211",7,"2020-08-07",0
722,"3212",7,"2020-08-07",0
733,"3213",7,"2020-08-07",14
744,"3214",7,"2020-08-07",0
755,"3215",7,"2020-08-07",0
